0, 0 6 3 5 10 10 15 15 9;
1, 0 1 0 -2 -3 -4 2 7 12 7;
2, 0 1 0 -2 3 8 2 7 12 12 6;
3, 0 1 5 -1 -2 3 8 13 12 13 12 11 10 15 8 2;
4, 0 1 0 -2 3 8 13 12;
5, 0 -1 4 3 2 7 12 11 4 6 11 4;
6, 0 -1 4;
7, 0 1 0 -1;
8, 0 1 2 3 1 0 5 5 10;
9, 0 1 2 3 1 -1 -2 -1 4 3;
10, 0 -2 3 -1 0 -2 3 2 1 1 6 10 7 5 10 15 11;
11, 0 -1 4 5 8 11 11 16 12 11 16 17 15 14 19;
12, 0 -5 0 -5 0 6 11;
13, 0 -1 4 5 8 11 11 16 12 11 9 8;
14, 0 3 8 11 4 -2 3 8 11 4 7 12 6 11 4 -2 3 8 2 7 12 6 11 4 2 7;
15, 0 -1 -2 -1 1 3 -1 -2 0 -1 -2 3 1 3 -1 -2;
16, 0 -1 -1 1 0;
17, 0 1 0 -5 -4 -7 -11 -12 -12;
18, 0 -4 0 -4 -7 -2 3 8;
19, 0 1 0 -5 -4 -7 -11 -12 -12;
20, 0 -4 0 -4 -7 -2 3 8;
21, 0 5 -1 4 3 2 1 -5 -4 1 2 -4 -4 -5 -6 -11;
22, 0 5 -1 4 3 2 1 -5 -4 1 2 -4 -4 -5 -6 -6;
