0, 0 -1 -2 3 8 13 12 10 9 8;
1, 0 -1 -2 3 8 8;
2, 0 5 -1 4 9 9 3;
3, 0 0 -1 4 9 14 11 16 9 14 7;
4, 0 -1 -2 3 8 13 12 10 9 8;
5, 0 -1 -2 3 8 8;
6, 0 5 -1 4 9 9 3;
7, 0 0 -1 4 9 14 11 16 9 14 7;
8, 0 4 9 14 16 21 14 14 19;
9, 0 4 9 14 17 17 16 21 14 19 12 15 14 19 12;
10, 0 5 10 15 8 9 14 7;
11, 0 5 10 15 20 21 14 19;
12, 0 5 10 9 14 7 3 8 13 6 11 4 4 3 2 1 6 11 10 3 8;
13, 0 -1 -2 3 8 13 12 10 9 8;
14, 0 -1 -2 3 8 8;
15, 0 5 -1 4 9 9 3;
16, 0 0 -1 4 9 14 11 16 9 14 7;
17, 0 5 10 15 8 2 7 12;
18, 0 5 10 15 9 14 19;
19, 0 5 10 3 8 13 6 0 5 10 9 8 7 12 5 10;
20, 0 -1 -2 3 8 13 12 10 9 8;
21, 0 -1 -2 3 8 8;
22, 0 5 -1 4 9 9 3;
23, 0 0 -1 4 9 14 11 16 9 14 7;
24, 0 0 5 10 10 15 8 2 7 12 14 7 12 14 7 4 3 2 7 12;
25, 0 5 10 10 15 8 2 7 12 14 7 4 9 14 7 12 14 7 12;
