0, 0 1 2 1 0 -2 -3 -2;
1, 0 1 2 1 0 2 0 -1 0 -2 -3 -2 -3 -2 -1 -1 1 -1 -2 -1 -2 -3 -2 -3 -4;
2, 0 -1 0 -1 0 -1 0;
3, 0 -1 0 -1 0 0 -1 1 0 0 0 -1 -1;
4, 0 -1 0 -1 0 0 -1 0;
5, 0 -1 0 -1 0 -1 0 -1 -1 1 1 0 1 0 1 1 0 -1 -2;
6, 0 -1 0 -1 0 -1 0 0 2 0 0;
7, 0 1 0 1 0 2 1 1 1 0 0;
8, 0 -2 -3 -4 -5 -6 -7;
9, 0 -1 -2 -3 -4 -5 -6 -5 -4 -2 -2;
10, 0 -1 -2 -3 -4 -5 -6 -5 -4 -5 -5;
11, 0 1 2 1 0 -2 -3 -2;
12, 0 1 2 1 0 2 0 -1 0 -2 -3 -2 -3 -2 -1 -1 1 -1 -2 -1 -2 -3 -2 -3 -4;
13, 0 -1 0 -1 0 -1 0;
14, 0 -1 0 -1 0 0 -1 1 0 0 0 -1 -1;
15, 0 -1 0 -1 0 0 -1 0;
16, 0 -1 0 -1 0 -1 0 -1 -1 1 1 0 1 0 1 1 0 -1 -2;
17, 0 -1 0 -1 0 -1 0 0 2 0 0;
18, 0 1 0 1 0 2 1 1 1 0 0;
19, 0 -2 -3 -4 -5 -6 -7;
20, 0 -1 -2 -3 -4 -5 -6 -5 -4 -2 -2;
21, 0 -1 -2 -3 -4 -5 -6 -5 -4 -5 -5;
22, 0 -1 -3;
23, 0 2 0 -1;
24, 0 -1 1;
25, 0 -1 -1 -1 -1 -1 1;
26, 0 -1 -1 -1 -1 -1 1 1 -1 -2;
27, 0 2 4 6;
28, 0 -2 -1 1 0;
29, 0 -1;
30, 0 0 0 0 0 2;
31, 0 1 2 1 0 -2 -3 -2;
32, 0 1 2 1 0 2 0 -1 0 -2 -3 -2 -3 -2 -1 -1 1 -1 -2 -1 -2 -3 -2 -3 -4;
33, 0 -1 0 -1 0 -1 0;
34, 0 -1 0 -1 0 0 -1 1 0 0 0 -1 -1;
35, 0 -1 0 -1 0 0 -1 0;
36, 0 -1 0 -1 0 -1 0 -1 -1 1 1 0 1 0 1 1 0 -1 -2;
37, 0 -1 0 -1 0 -1 0 0 2 0 0;
38, 0 1 0 1 0 2 1 1 1 0 0;
39, 0 -2 -3 -4 -5 -6 -7;
40, 0 -1 -2 -3 -4 -5 -6 -5 -4 -2 -2;
41, 0 -1 -2 -3 -4 -5 -6 -5 -4 -5 -5;
42, 0 1 2 4;
43, 0 -2 -1 0 2;
44, 0 -2 -1 0 2;
45, 0 -2 0 -1 -3;
46, 0 0 -1 0 1;
47, 0 1 2 2 0 0 -2;
48, 0 -2 0;
49, 0 1 2 1 0 -2 -3 -2;
50, 0 1 2 1 0 2 0 -1 0 -2 -3 -2 -3 -2 -1 -1 1 -1 -2 -1 -2 -3 -2 -3 -4;
51, 0 -1 0 -1 0 -1 0;
52, 0 -1 0 -1 0 0 -1 1 0 0 0 -1 -1;
53, 0 -1 0 -1 0 0 -1 0;
54, 0 -1 0 -1 0 -1 0 -1 -1 1 1 0 1 0 1 1 0 -1 -2;
55, 0 -1 0 -1 0 -1 0 0 2 0 0;
56, 0 1 0 1 0 2 1 1 1 0 0;
57, 0 -2 -3 -4 -5 -6 -7;
58, 0 -1 -2 -3 -4 -5 -6 -5 -4 -2 -2;
59, 0 -1 -2 -3 -4 -5 -6 -5 -4 -5 -5;
60, 0 -2 0 1 1;
61, 0 -1 -1 -2 -1 0;
62, 0 2 3 3;
