1, -67.17646 2.090194 -0.015367 0.859 0.062565 0.29002 0.113607 0.15791 0.07347 0.099534 0.086752 0.188665 -0.026468 0.335638 0.041561 0.093893 0.035676 0.134117 0.022676 0.062519 -0.02715 0.15689 0.02664 0.117653;
2, -67.367767 0.280476 0.208905 0.166888 0.167887 0.116456 0.172384 0.148929 0.106279 0.117809 0.089757 0.087642 0.045373 0.055831 0.025091 0.062171 0.036823 0.071436 0.010946 0.033943 -0.000758 0.040192 0.00802 0.030292;
3, -67.301346 0.997699 0.100206 0.218874 0.040723 0.289654 0.164893 0.276067 0.053638 0.129708 0.073751 0.125613 0.064668 0.103561 -0.015732 0.185167 0.053056 0.088987 0.046149 0.116714 -0.031168 0.131887 0.029115 0.079611;
4, -67.040756 1.471548 0.143953 0.342498 0.012708 0.475043 0.232114 0.340982 0.122858 0.166133 0.097943 0.176555 0.022237 0.176773 0.005608 0.13102 0.081578 0.163423 0.022367 0.106825 -0.04855 0.148155 0.05215 0.128755;
5, -67.303596 0.713565 0.109388 0.21785 0.04634 0.246593 0.172536 0.307607 0.020796 0.142933 0.052075 0.092508 0.072634 0.124623 -0.032794 0.147491 0.035819 0.065635 0.041055 0.076581 -0.031299 0.097654 0.022108 0.052817;
6, -67.262939 0.752136 0.157869 0.252548 0.092137 0.291098 0.202653 0.274438 0.101076 0.145055 0.086851 0.081634 0.051172 0.099249 -0.019108 0.138585 0.042229 0.116316 0.029681 0.105429 -0.047913 0.148175 0.018899 0.081235;
7, -66.652557 2.530801 0.020623 0.499552 -0.093803 0.632114 0.311954 0.566952 0.125384 0.283405 0.120634 0.240492 -0.001379 0.268215 0.03852 0.20817 0.095191 0.204734 0.019234 0.162652 -0.0589 0.208792 0.072629 0.17448;
8, -67.004585 1.357064 0.174426 0.194041 -0.064687 0.558395 0.258462 0.382499 0.237279 0.293168 -0.004419 0.213148 -0.007556 0.143373 0.125284 0.23226 0.044064 0.077208 -0.043135 0.154082 -0.000794 0.046025 0.064502 0.146899;
9, -67.145134 1.265859 0.201766 0.457072 0.166169 0.357901 0.266317 0.392862 0.114581 0.197023 0.100297 0.105058 0.056895 0.126232 -0.009093 0.147671 0.019303 0.12397 0.009526 0.130267 -0.04638 0.146741 0.015864 0.108446;
10, -67.503654 0.188423 0.101679 0.107973 0.086261 0.100611 0.115263 0.12595 0.059315 0.086802 0.057065 0.046711 0.051148 0.067848 0.012115 0.082015 0.031627 0.04797 0.019536 0.046827 -0.009 0.068266 0.0154 0.048787;
